ts_unix,disk_read_bytes_per_s,disk_write_bytes_per_s,disk_read_ops_per_s,disk_write_ops_per_s,disk_usage_percent_c,net_bytes_sent_per_s,net_bytes_recv_per_s,net_packets_sent_per_s,net_packets_recv_per_s
1772970151.9366555,171976482.7657545,151503.09196030753,328.89382690390875,16.994513852177658,37.6,43459511.45457137,2113.3177813825628,47.98450970026632,2.999031856266645
1772970152.936326,186183586.4633208,57362.900758945674,357.1176682991003,12.003955236944545,37.6,42630387.47719705,0.0,31.010217695440076,0.0
1772970153.9364753,178837436.50714362,262104.88083853605,412.93836893583443,35.994627800702276,37.6,39603902.11640051,697.8958390247275,62.990598651228986,0.9998507722417299
1772970154.936661,184007296.6793477,114666.70317416842,351.9346358582178,10.997957370569306,37.6,45753659.261027254,717.8666720062512,40.992386563031054,0.9998143064153916
1772970155.9366527,189793839.76321596,106496.88867929071,366.00305416748427,13.00010848135873,37.6,43580218.66168336,1592.0132847940845,57.000475649034435,11.000091791918926
1772970156.9366844,181401991.80251747,114684.3633965655,347.9889653843889,9.99968291334451,37.6,44884534.72616992,1256.9601422074047,57.99816089739815,5.999809748006705
1772970157.9366417,189960618.93521246,0.0,374.01596185139925,0.0,37.6,43214700.27055083,156.00665788454089,104.00443858969392,2.0000853574941138
1772970158.936527,188421224.02096227,1306773.8599592783,365.04186275863333,12.001376309872878,37.6,43370971.75426622,112.01284555881352,180.02064464809317,2.000229384978813
1772970159.936474,193234931.71712333,192522.18999247035,428.022654778805,16.00084690761888,37.6,43040242.07372579,48116.54675707342,105.0055578312489,46.002434859404275
1772970160.9368453,181467356.10042372,495432.0868265178,355.8678955284744,76.97142684183294,37.6,42366207.912569076,12588.326989859768,158.9409982837849,9.996289200238044
1772970161.9366007,183545698.48295295,192559.1033191694,350.08563706007567,4.000978709258008,37.6,43558106.07336409,0.0,123.03009530968373,0.0
1772970162.936509,193615212.16355395,393252.09706339106,375.03442484225377,4.000367198317373,37.6,43532018.85420105,1730.158813272264,133.01220934405265,10.000917995793433
1772970163.938637,171601275.16720617,77658.73256900051,329.29921036916846,15.96602232092938,37.6,43423839.67432284,957.9613392557628,123.7366729872027,15.96602232092938
1772970164.9366314,187546955.87752002,0.0,362.72747791868494,0.0,37.6,42250060.75378916,420.8440351542754,101.20297035852812,6.012057645061077
1772970165.9368837,189220237.7897955,81899.34114863032,360.90896184882257,4.998739083778706,37.6,43483491.42596991,155.96065941389563,47.98789520427558,1.9994956335114824
1772970166.936412,190930873.462829,225386.2903600531,364.1717404610233,3.001415443360082,37.6,43514981.31486912,0.0,109.05142777541631,0.0
1772970167.9367342,183965831.9615774,90082.98395554449,352.88633407656255,2.9990340006506733,37.6,43480454.793313555,0.0,65.9787480143148,0.0
1772970168.9366465,183516901.41270635,65541.75050453798,354.0310619904548,1.000087745735748,37.6,43498276.45339366,0.0,43.003773066637166,0.0
1772970169.9364123,184068183.33978453,4096.959208951757,351.0821978374186,1.0002341818729876,37.6,43504645.614107385,0.0,41.00960145679249,0.0
1772970170.9365065,189250145.30345848,4095.6142941364806,362.96581757117735,0.9999058335294142,37.6,43490364.28021176,0.0,61.99416167882368,0.0
1772970171.9364533,168829712.22724214,4096.217785016551,322.0171207947581,1.0000531701700563,37.6,43496772.60783471,0.0,62.00329655054349,0.0
1772970172.9364507,186122728.12628016,102400.26855539181,355.0009310269931,2.0000052452224963,37.6,43494616.06917018,0.0,51.00013375317366,0.0
1772970173.9367712,182066203.6942508,937683.5337797642,352.8869228305139,18.993913693427093,37.6,43480527.335906155,0.0,130.95803651783945,0.0
1772970174.9367366,186652980.72307512,81922.83212915868,357.01234216442435,2.000069143778288,37.6,43527867.78859647,66.0022817446835,175.00605008060018,1.000034571889144
1772970175.936348,184621123.8828261,73756.66348301823,352.13684822621553,3.0011663201097916,37.6,43511631.58964613,424.1648399088505,62.02410394893569,2.000777546739861
1772970176.936609,179783848.12847027,0.0,342.9104769296079,0.0,37.6,43488794.45244469,7322.088434496934,144.9621549702424,15.995823996716403
1772970177.9367142,181908809.6359955,53242.401955780384,349.96320396114663,4.999474342302094,37.6,43489887.36045695,0.0,121.9871739521711,0.0
